gid,geom
1117086,"MULTIPOLYGON (((5.933132820137262 50.21411282383557, 5.912999809621569 50.43373700199243, 6.256827598211589 50.44604164285186, 6.275274130784332 50.22635693263419, 5.933132820137262 50.21411282383557)))"
1117087,"MULTIPOLYGON (((5.912999809621569 50.43373700199243, 5.892679132624306 50.65335767396364, 6.238208995950354 50.6657234099088, 6.256827598211589 50.44604164285186, 5.912999809621569 50.43373700199243)))"
1117088,"MULTIPOLYGON (((5.892679132624306 50.65335767396364, 5.872167550437426 50.87297477918276, 6.219415352340047 50.88540218293588, 6.238208995950354 50.6657234099088, 5.892679132624306 50.65335767396364)))"
1117089,"MULTIPOLYGON (((5.872167550437426 50.87297477918276, 5.851461752042694 51.09258825572937, 6.200443629309745 51.10507790992595, 6.219415352340047 50.88540218293588, 5.872167550437426 50.87297477918276)))"
1117090,"MULTIPOLYGON (((5.851461752042694 51.09258825572937, 5.830558352061168 51.31219804029061, 6.181290720492984 51.32475053770144, 6.200443629309745 51.10507790992595, 5.851461752042694 51.09258825572937)))"
1117091,"MULTIPOLYGON (((5.830558352061168 51.31219804029061, 5.809453888632937 51.53180406812142, 6.161953449278187 51.54442001188098, 6.181290720492984 51.32475053770144, 5.830558352061168 51.31219804029061)))"
1117092,"MULTIPOLYGON (((5.809453888632937 51.53180406812142, 5.788144821223945 51.75140627300341, 6.142428566792176 51.76408627684474, 6.161953449278187 51.54442001188098, 5.809453888632937 51.53180406812142)))"
1117093,"MULTIPOLYGON (((5.788144821223945 51.75140627300341, 5.766627528357406 51.97100458720235, 6.122712749814071 51.98374927569869, 6.142428566792176 51.76408627684474, 5.788144821223945 51.75140627300341)))"
1117104,"MULTIPOLYGON (((5.539142643186072 54.16675766322761, 5.515070178887908 54.38630822855169, 5.892205342911292 54.39980903454871, 5.914264356810699 54.1801861221856, 5.539142643186072 54.16675766322761)))"
1117105,"MULTIPOLYGON (((5.515070178887908 54.38630822855169, 5.490738774247783 54.60585395443888, 5.869908848901435 54.61942788378717, 5.892205342911292 54.39980903454871, 5.515070178887908 54.38630822855169)))"
1117106,"MULTIPOLYGON (((5.490738774247783 54.60585395443888, 5.466143508418439 54.82539474881184, 5.847370357755383 54.83904259254039, 5.869908848901435 54.61942788378717, 5.490738774247783 54.60585395443888)))"
1117107,"MULTIPOLYGON (((5.466143508418439 54.82539474881184, 5.441279337899329 55.04493051729452, 5.82458523973103 55.05865308151476, 5.847370357755383 54.83904259254039, 5.466143508418439 54.82539474881184)))"
1117108,"MULTIPOLYGON (((5.441279337899329 55.04493051729453, 5.416141092671137 55.26446116313972, 5.801548748812822 55.27825926942272, 5.82458523973103 55.05865308151476, 5.441279337899329 55.04493051729453)))"
1117109,"MULTIPOLYGON (((5.416141092671137 55.26446116313972, 5.390723472183614 55.48398658715357, 5.778256019019518 55.49786107291909, 5.801548748812822 55.27825926942272, 5.416141092671137 55.26446116313972)))"
1117110,"MULTIPOLYGON (((5.390723472183614 55.48398658715357, 5.36502104119002 55.70350668761747, 5.754702060570628 55.71745840653544, 5.778256019019518 55.49786107291909, 5.390723472183614 55.48398658715357)))"
1118081,"MULTIPOLYGON (((6.365025332533732 49.12789093874975, 6.347396773496336 49.34758963943148, 6.683106224702623 49.35854355070722, 6.699119972373066 49.13879203910233, 6.365025332533732 49.12789093874975)))"
1118082,"MULTIPOLYGON (((6.347396773496336 49.34758963943148, 6.329610068697233 49.5672856352876, 6.666948727051427 49.57829283044357, 6.683106224702623 49.35854355070722, 6.347396773496336 49.34758963943148)))"
1118083,"MULTIPOLYGON (((6.329610068697233 49.56728563528761, 6.311662552335233 49.78697888068979, 6.650645054794453 49.79803984064329, 6.666948727051427 49.57829283044358, 6.329610068697233 49.56728563528761)))"
1118084,"MULTIPOLYGON (((6.311662552335233 49.78697888068979, 6.293551500742102 50.0066693290182, 6.634192730631831 50.01778454281929, 6.650645054794453 49.79803984064329, 6.311662552335233 49.78697888068979)))"
1118085,"MULTIPOLYGON (((6.293551500742102 50.0066693290182, 6.275274130784332 50.22635693263418, 6.617589223132636 50.23752689764277, 6.634192730631831 50.01778454281929, 6.293551500742102 50.0066693290182)))"
1118086,"MULTIPOLYGON (((6.275274130784332 50.22635693263419, 6.256827598211589 50.44604164285186, 6.600831945230076 50.45726686491989, 6.617589223132636 50.23752689764278, 6.275274130784332 50.22635693263419)))"
