,,,Steinkohle (roh),Steinkohle (Briketts),Steinkohle (Koks),Steinkohle (sonstige),Braunkohle (roh),Braunkohle (Briketts),Braunkohle (sonstige),Erdöl,Rohbenzin,Ottokraftstoffe,Dieselkraftstoffe,Flugturbinenkraftstoffe,Heizöl (leicht),Heizöl (schwer),Petrolkoks,Mineralölprodukte (sonstige),Flüssiggas,Raffineriegas,"Kokereigas, Stadtgas","Gichtgas, Konvertergas",Erdgas,Grubengas,"Klärgas, Deponiegas",Wasserkraft,Windkraft,Solarenergie,Biomasse,Biotreibstoff,Abfälle (biogen),EE (sonstige),Strom,Kernenergie,Fernwärme,Abfälle (nicht biogen),andere Energieträger,Insgesamt
2014,ST,Küsten und Binnenschiffahrt,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.139209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,9.223,,,0.0,0.0,,0.0,0.0,0.0,170.362209
2014,ST,Verkehr insgesamt,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15759.15606,36018.54396,146.6756,0.0,0.0,0.0,0.0,696.42657,0.0,,,336.7764,,0.0,0.0,0.0,0.0,2748.707,,,0.0,1956.6036,,0.0,0.0,0.0,57662.88919
2014,ST,Haushalte,82.11463,0.0,0,0.0,0.0,1213.48667,0.0,0.0,0.0,174.298626,0.0,0.0,9726.246504,0.0,0.0,3.082,1076.67189,0.0,,,22114.08,,0.0,0.0,0.0,441.405,9476.867,,,645.235,10927.1304,,6466.73,0.0,0.0,62347.34772
2014,ST,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",14.783366,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,232.383654,5318.195323,0.0,3146.175162,0.0,0.0,0.0,959.67333,0.0,,,23515.3332,,0.0,0.0,0.0,26.595,321.952,,,0.0,6452.3196,,704.469,0.0,0.0,40691.879635
2014,ST,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",96.897996,0.0,0,0.0,0.0,1213.48667,0.0,0.0,0.0,406.68228,5318.195323,0.0,12872.421666,0.0,0.0,3.082,2036.34522,0.0,,,45629.4132,,0.0,0.0,0.0,468.0,9798.819,,,645.235,17379.45,,7171.199,0.0,0.0,103039.227355
2012,MV,Endenergieverbrauch,116.6,0.0,111,0.0,0.0,954.6,598.2,0.0,0.0,16546.3,31979.7,214.0,9106.2,79.9,0.0,3.1,3361.5,,,,33404.6,,,,,187.2,8996.5,,,577.9,23295.3,,10344.2,,,139876.8
2012,MV,Gewinngung und verarbeitendes Gewerbe,116.6,,111,,,3.0,224.8,,,,60.4,,499.2,79.9,,3.1,89.1,,,,7742.4,,,,,,4145.4,,,11.7,5789.1,,1717.2,,,20592.9
2012,MV,Schienenverkehr,,,,,,,,,,,1245.8,,,,,,,,,,,,,,,,74.7,,,,933.6,,,,,2254.2
2012,MV,Straßenverkehr,,,,,,,,,,16110.9,24659.0,,,,,,585.5,,,,100.6,,,,,,2253.3,,,,,,,,,43709.3
2012,MV,Luftverkehr,,,,,,,,,,,,214.0,,,,,,,,,,,,,,,,,,,,,,,,214.0
