"Länderarbeitskreis Energiebilanzen"
"Vollständige Energiebilanz "
"Einheit: Terajoule"
" "
Land;Jahr;Bilanzzeile;Anm;Insgesamt;"Kohle (roh)";Briketts;Koks;"Andere Steinkohlen produkte";"Kohle (roh)";Briketts;"Koks, Hartbraun kohle, andere Braunkohlen produkte";"Erdöl (roh)";Rohbenzin;"Ottokraft stoffe";"Dieselkraft stoffe";"Flugturbinen kraftstoffe";"Heizöl leicht";"Heizöl schwer";Petrolkoks;"Andere Mineralöl produkte";Flüssiggas;Raffineriegas;"Kokereigas, Stadtgas";"Gichtgas, Konvertergas";"Erdgas, Erdölgas";"Grubengas, sonstige Gase";"Klärgas, Deponiegas";Wasserkraft;Windkraft;Solarenergie;"Biomasse 1)";"Sonstige erneuerbare Energien 2)";Strom;Kernenergie;Fernwärme;"Andere Energieträger";Stand
Baden-Württemberg;1991;"Umw-Verbrauch: Insgesamt";;58179;0;0;0;0;0;0;0;0;44;0;85;0;512;4513;5334;195;1193;27322;0;0;1079;0;1630;0;0;0;0;0;16272;0;0;0;
Baden-Württemberg;1991;"Fackel- und Leitungsverluste";;13389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;233;0;0;0;0;0;10170;0;2954;0;
Baden-Württemberg;1991;"Energieangebot nach Umwandlungsbilanz";;1060980;17366;1130;4441;0;0;3275;2648;0;0;166945;118250;8456;258834;23058;5979;26527;13583;2080;0;0;170168;0;0;0;0;0;8133;0;203520;0;26587;0;
Baden-Württemberg;1991;"Nichtenergetischer Verbrauch";;27527;0;0;659;0;0;0;0;0;0;0;0;0;0;0;469;26399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Statistische Differenzen";;-2664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;290;0;0;-2954;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;Endenergieverbrauch;;1030789;17366;1130;3782;0;0;3275;2648;0;0;166945;118250;8456;258834;23058;5510;128;13583;2370;0;0;167214;0;0;0;0;0;8133;0;203520;0;26587;0;
Baden-Württemberg;1991;"Gew Steine u Erden, sonst Bergbau, Verarbeitendes Gewerbe insgesamt";;248249;16919;0;3410;0;0;39;2648;0;0;0;0;0;33181;21827;5510;85;8856;2370;0;0;60168;0;0;0;0;0;352;0;84057;0;8827;0;
Baden-Württemberg;1991;Schienenverkehr;;8699;0;0;0;0;0;0;0;0;0;0;2349;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;6304;0;0;0;
Baden-Württemberg;1991;Straßenverkehr;;268498;0;0;0;0;0;0;0;0;0;164593;103859;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;Luftverkehr;;9545;0;0;0;0;0;0;0;0;0;1089;0;8456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Küsten- und Binnenschifffahrt";;1537;0;0;0;0;0;0;0;0;0;0;1537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Verkehr insgesamt";;288279;0;0;0;0;0;0;0;0;0;165682;107745;8456;0;0;0;0;92;0;0;0;0;0;0;0;0;0;0;0;6304;0;0;0;
Baden-Württemberg;1991;Haushalte;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Gewerbe, Handel, Dienstleistungen u übrige Verbraucher";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Haushalte, Gewerbe, Handel und Dienstleistungen u übrige Verbraucher";;494261;447;1130;372;0;0;3236;0;0;0;1263;10505;0;225653;1231;0;43;4635;0;0;0;107046;0;0;0;0;0;7781;0;113159;0;17760;0;
Baden-Württemberg;1992;Gewinnung;;37451;0;0;0;0;0;0;0;1485;0;0;0;0;0;0;0;0;0;0;0;0;1174;0;2238;15268;0;0;11713;0;0;0;0;5573;
Baden-Württemberg;1992;Bezüge;;1764126;181282;1036;4582;0;0;2862;2308;740755;7533;0;4313;0;48171;0;0;0;0;0;0;0;250302;0;0;0;0;0;0;0;130921;390061;0;0;
Baden-Württemberg;1992;Bestandsentnahmen;;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1992;Energieaufkommen;;1801609;181282;1036;4582;0;0;2862;2308;742240;7533;0;4313;0;48171;0;0;0;0;0;0;0;251508;0;2238;15268;0;0;11713;0;130921;390061;0;5573;
Baden-Württemberg;1992;Lieferungen;;267991;0;0;0;0;0;0;0;0;0;42543;0;2647;0;30561;4338;10235;6469;0;0;0;49540;0;0;0;0;0;0;0;121658;0;0;0;
